x;n = 10;n = 25;n = 50;n = 100
0,66707;7,10E-07;2,03E-14;6,56E-17;6,56E-17
0,6655;7,50E-07;2,30E-14;6,86E-17;6,86E-17
0,66393;7,91E-07;2,60E-14;8,13E-17;8,13E-17
0,66236;8,35E-07;2,95E-14;8,14E-17;8,14E-17
0,66079;8,80E-07;3,33E-14;8,34E-17;8,34E-17
0,65922;9,28E-07;3,77E-14;7,07E-17;7,07E-17
0,65765;9,79E-07;4,26E-14;6,68E-17;6,68E-17
0,65608;1,03E-06;4,81E-14;7,08E-17;7,08E-17
0,65451;1,09E-06;5,42E-14;7,11E-17;7,11E-17
0,65294;1,14E-06;6,12E-14;7,00E-17;7,00E-17
0,65137;1,21E-06;6,90E-14;7,81E-17;7,81E-17
0,6498;1,27E-06;7,77E-14;8,65E-17;8,65E-17
0,64823;1,34E-06;8,75E-14;7,41E-17;7,41E-17
0,64666;1,41E-06;9,85E-14;7,20E-17;7,20E-17
0,64509;1,48E-06;1,11E-13;7,10E-17;7,10E-17
0,64352;1,56E-06;1,25E-13;6,84E-17;6,84E-17
0,64195;1,64E-06;1,40E-13;7,01E-17;7,01E-17
0,64038;1,72E-06;1,57E-13;7,92E-17;7,92E-17
0,63881;1,81E-06;1,77E-13;7,73E-17;7,73E-17
0,63724;1,91E-06;1,98E-13;7,63E-17;7,63E-17
0,63567;2,00E-06;2,22E-13;7,39E-17;7,39E-17
0,6341;2,10E-06;2,49E-13;6,98E-17;6,98E-17
0,63253;2,21E-06;2,79E-13;7,77E-17;7,77E-17
0,63096;2,32E-06;3,13E-13;7,09E-17;7,09E-17
0,62939;2,44E-06;3,50E-13;7,64E-17;7,64E-17
0,62782;2,56E-06;3,92E-13;8,89E-17;8,89E-17
0,62625;2,69E-06;4,39E-13;7,51E-17;7,51E-17
0,62468;2,82E-06;4,90E-13;7,44E-17;7,44E-17
0,62311;2,96E-06;5,48E-13;7,32E-17;7,32E-17
0,62154;3,11E-06;6,12E-13;7,54E-17;7,54E-17
0,61997;3,26E-06;6,83E-13;7,23E-17;7,23E-17
0,6184;3,42E-06;7,63E-13;7,96E-17;7,96E-17
0,61683;3,58E-06;8,51E-13;9,15E-17;9,15E-17
0,61526;3,76E-06;9,49E-13;6,96E-17;6,96E-17
0,61369;3,94E-06;1,06E-12;7,27E-17;7,27E-17
0,61212;4,13E-06;1,18E-12;7,31E-17;7,31E-17
0,61055;4,33E-06;1,31E-12;7,64E-17;7,64E-17
0,60898;4,53E-06;1,46E-12;7,71E-17;7,71E-17
0,60741;4,75E-06;1,63E-12;7,92E-17;7,92E-17
0,60584;4,97E-06;1,81E-12;1,16E-16;1,16E-16
0,60427;5,21E-06;2,01E-12;1,44E-16;1,44E-16
0,6027;5,45E-06;2,23E-12;1,57E-16;1,57E-16
0,60113;5,71E-06;2,48E-12;1,67E-16;1,67E-16
0,59956;5,97E-06;2,76E-12;1,63E-16;1,63E-16
